NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description,Latitude,Longitude
F3658714,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3686710,551586,2014-06-27 23:11:54,06/27/2014 11:16:55 PM,06/27/2014 11:25:09 PM,06/28/2014 01:05:18 AM,RTF,REPORT TO FOLLOW,N,3T02,Franklin Ave & Selma St,70122.0,3,"(30.01051289, -90.05090977)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.01051289,-90.05090977
F3680014,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2A,3682675,533246,2014-06-28 03:18:32,06/28/2014 03:20:41 AM,06/28/2014 03:44:55 AM,06/28/2014 05:13:31 AM,RTF,REPORT TO FOLLOW,N,8E01,008XX Dumaine St,70116.0,8,"(29.96020605, -90.06429737)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96020605,-90.06429737
F3774214,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3678308,526767,2014-06-28 21:16:33,06/28/2014 09:18:15 PM,06/28/2014 09:20:09 PM,06/28/2014 10:45:50 PM,RTF,REPORT TO FOLLOW,N,6H03,019XX Erato St,70113.0,6,"(29.94252405, -90.07831101)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.94252405,-90.07831101
F3774814,64G,ARMED ROBBERY WITH GUN,1A,103,DISTURBANCE (OTHER),2A,3693356,545049,2014-06-28 21:20:47,06/28/2014 09:21:30 PM,06/28/2014 09:27:15 PM,06/28/2014 11:15:20 PM,RTF,REPORT TO FOLLOW,N,5Q02,035XX Ursula Spencer Way,70126.0,5,"(29.99233186, -90.03014555)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.99233186,-90.03014555
F3778314,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3681183,528031,2014-06-28 21:55:50,06/28/2014 09:57:26 PM,06/28/2014 10:01:18 PM,06/28/2014 10:36:15 PM,RTF,REPORT TO FOLLOW,N,8G03,007XX Magazine St,70130.0,8,"(29.94591315, -90.06918967)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.94591315,-90.06918967
F3799614,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3681453,534671,2014-06-29 01:12:42,06/29/2014 01:14:24 AM,06/29/2014 01:13:42 AM,06/29/2014 04:19:10 AM,RTF,REPORT TO FOLLOW,N,1F01,013XX Saint Philip St,70116.0,1,"(29.96416335, -90.06810630)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96416335,-90.06810630
F3805014,64G,ARMED ROBBERY WITH GUN,2A,65,SIMPLE ROBBERY,1B,3685535,534906,2014-06-29 02:22:55,06/29/2014 02:23:19 AM,06/29/2014 02:22:55 AM,06/29/2014 04:17:31 AM,RTF,REPORT TO FOLLOW,Y,8F04,Marigny St & Royal St,70117.0,8,"(29.96468407, -90.05520767)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96468407,-90.05520767
F3805214,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3683921,535154,2014-06-29 02:23:42,06/29/2014 02:24:47 AM,06/29/2014 02:25:41 AM,06/29/2014 04:08:35 AM,RTF,REPORT TO FOLLOW,N,8F02,015XX Pauger St,70116.0,8,"(29.96541608, -90.06029537)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96541608,-90.06029537
F3818214,64G,ARMED ROBBERY WITH GUN,2A,34,AGGRAVATED BATTERY,2B,3687870,537083,2014-06-29 05:56:44,06/29/2014 05:56:44 AM,06/29/2014 05:56:53 AM,06/29/2014 05:57:04 AM,RTF,REPORT TO FOLLOW,N,5C03,013XX Saint Ferdinand St,70117.0,5,"(29.97059725, -90.04775796)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97059725,-90.04775796
F3829514,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3691224,535408,2014-06-29 09:26:31,06/29/2014 09:34:27 AM,06/29/2014 09:46:11 AM,06/29/2014 11:21:54 AM,RTF,REPORT TO FOLLOW,N,5D02,038XX Saint Claude Ave,70117.0,5,"(29.96588788, -90.03722562)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96588788,-90.03722562
G0114614,64G,ARMED ROBBERY WITH GUN,2A,21,COMPLAINT OTHER,1H,3689493,536017,2014-07-01 20:26:44,07/01/2014 08:26:44 PM,07/01/2014 08:29:08 PM,07/02/2014 04:09:49 AM,RTF,REPORT TO FOLLOW,N,5C02,031XX Saint Claude Ave,70117.0,5,"(29.96761725, -90.04266847)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96761725,-90.04266847
G0123814,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3686217,557352,2014-07-01 21:57:57,07/01/2014 09:59:04 PM,07/01/2014 09:58:42 PM,07/02/2014 12:31:20 AM,RTF,REPORT TO FOLLOW,N,3S04,Franklin Ave & Leon C Simon Dr,70122.0,3,"(30.02638240, -90.05226181)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.02638240,-90.05226181
G0143914,64G,ARMED ROBBERY WITH GUN,2A,64,ARMED ROBBERY,2A,3683740,534621,2014-07-02 02:05:20,07/02/2014 02:06:27 AM,07/02/2014 02:06:39 AM,07/02/2014 04:47:30 AM,RTF,REPORT TO FOLLOW,N,8E02,Esplanade Ave & Bourbon St,70116.0,8,"(29.96395619, -90.06088802)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96395619,-90.06088802
G0269614,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3680019,522490,2014-07-02 23:05:39,07/02/2014 11:06:59 PM,07/02/2014 11:19:12 PM,07/03/2014 02:55:01 AM,RTF,REPORT TO FOLLOW,N,6B02,019XX Constance St,70130.0,6,"(29.93071253, -90.07305929)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.93071253,-90.07305929
G0270914,64G,ARMED ROBBERY WITH GUN,2A,64,ARMED ROBBERY,2A,3680710,537044,2014-07-02 23:20:39,07/02/2014 11:22:42 PM,07/02/2014 11:23:50 PM,07/03/2014 12:52:20 AM,RTF,REPORT TO FOLLOW,N,1B01,Esplanade Ave & N Roman St,70116.0,1,"(29.97071133, -90.07037151)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97071133,-90.07037151
G0474414,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3691271,536027,2014-07-04 13:30:24,07/04/2014 01:32:22 PM,07/04/2014 01:38:38 PM,07/04/2014 02:53:40 PM,RTF,REPORT TO FOLLOW,N,5D02,012XX Pauline St,70117.0,5,"(29.96758943, -90.03705534)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96758943,-90.03705534
G0559814,64G,ARMED ROBBERY WITH GUN,2A,34S,AGGRAVATED BATTERY BY SHOOTING,2B,3685776,544891,2014-07-05 01:58:05,07/05/2014 02:01:04 AM,07/05/2014 02:10:09 AM,07/05/2014 06:17:54 AM,RTF,REPORT TO FOLLOW,N,3Y02,St Roch Ave & Humanity St,70122.0,3,"(29.99213248, -90.05409552)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.99213248,-90.05409552
G0786114,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3681737,534499,2014-07-06 21:45:15,07/06/2014 09:46:44 PM,07/06/2014 09:45:15 PM,07/07/2014 01:45:49 AM,RTF,REPORT TO FOLLOW,Y,1F02,012XX Saint Philip St,70116.0,1,"(29.96368009, -90.06721664)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96368009,-90.06721664
G0931914,64G,ARMED ROBBERY WITH GUN,2A,64,ARMED ROBBERY,2A,3676364,526697,2014-07-07 23:58:29,07/07/2014 11:59:48 PM,07/07/2014 11:59:54 PM,07/08/2014 01:25:15 AM,RTF,REPORT TO FOLLOW,N,6H02,Felicity St & La Salle St,70113.0,6,"(29.94238940, -90.08445294)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.94238940,-90.08445294
G1045314,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3680058,533353,2014-07-08 20:36:15,07/08/2014 08:36:15 PM,07/08/2014 08:36:22 PM,07/08/2014 10:43:17 PM,RTF,REPORT TO FOLLOW,N,1E01,014XX Saint Louis St,70112.0,1,"(29.96058063, -90.07255698)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96058063,-90.07255698
G1084914,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3704911,552976,2014-07-09 03:56:27,07/09/2014 03:57:52 AM,07/09/2014 04:03:06 AM,07/09/2014 06:16:40 AM,RTF,REPORT TO FOLLOW,N,7E01,079XX Chef Menteur Hwy,70126.0,7,"(30.01376171, -89.99335207)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.01376171,-89.99335207
G1270314,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3715811,565268,2014-07-10 13:59:40,07/10/2014 02:02:19 PM,07/10/2014 02:05:17 PM,07/10/2014 04:08:42 PM,RTF,REPORT TO FOLLOW,N,7K01,123XX S I-10 Service Rd,70128.0,7,"(30.04720345, -89.95845077)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.04720345,-89.95845077
G1294014,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3700961,552103,2014-07-10 16:58:20,07/10/2014 05:57:19 PM,07/10/2014 06:12:26 PM,07/10/2014 09:02:33 PM,RTF,REPORT TO FOLLOW,N,7C02,Chantilly Dr & Chef Menteur Blvd,70126.0,7,"(30.01148679, -90.00586460)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.01148679,-90.00586460
G1301514,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3672416,528332,2014-07-10 17:43:10,07/10/2014 05:43:59 PM,07/10/2014 05:47:32 PM,07/10/2014 08:01:04 PM,RTF,REPORT TO FOLLOW,N,6M01,035XX 4th St,70125.0,6,"(29.94700326, -90.09686281)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.94700326,-90.09686281
G1358414,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3697903,533328,2014-07-11 02:51:44,07/11/2014 03:55:41 AM,,07/11/2014 05:33:04 AM,RTF,REPORT TO FOLLOW,N,5E04,Caffin Ave & N Rampart St,70117.0,5,"(29.95995945, -90.01620883)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.95995945,-90.01620883
G1398014,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3686814,550298,2014-07-11 12:13:56,07/11/2014 12:16:13 PM,07/11/2014 12:17:34 PM,07/11/2014 01:38:38 PM,RTF,REPORT TO FOLLOW,N,3T02,Carnot St & Franklin Ave,70122.0,3,"(30.00696868, -90.05062390)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.00696868,-90.05062390
G1473214,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3678267,525693,2014-07-11 22:52:58,07/11/2014 10:55:41 PM,07/11/2014 11:15:44 PM,07/12/2014 02:02:44 AM,RTF,REPORT TO FOLLOW,N,6G02,016XX Baronne St,70113.0,6,"(29.93957217, -90.07848013)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.93957217,-90.07848013
G1498414,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3678932,524938,2014-07-12 03:38:11,07/12/2014 03:40:52 AM,07/12/2014 03:38:11 AM,07/12/2014 06:43:41 AM,RTF,REPORT TO FOLLOW,Y,6E03,017XX Saint Charles Ave,70130.0,6,"(29.93747564, -90.07640496)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.93747564,-90.07640496
G1606014,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2A,3697408,555065,2014-07-13 00:13:02,07/13/2014 09:04:25 AM,07/13/2014 09:11:24 AM,07/13/2014 10:28:03 AM,RTF,REPORT TO FOLLOW,N,7D01,Dwyer Rd & Virgilian St,70126.0,7,"(30.01974526, -90.01698273)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.01974526,-90.01698273
G1615214,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3681247,534880,2014-07-13 01:52:20,,07/13/2014 02:01:45 AM,07/13/2014 03:34:06 AM,RTF,REPORT TO FOLLOW,N,1F02,St Philip St & Marais St,70116.0,1,"(29.96474396, -90.06875103)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96474396,-90.06875103
G1616614,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3682547,537255,2014-07-13 02:14:26,07/13/2014 02:14:26 AM,07/13/2014 02:22:09 AM,07/13/2014 04:29:33 AM,RTF,REPORT TO FOLLOW,N,5A01,014XX Saint Bernard Ave,70116.0,5,"(29.97123455, -90.06456280)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97123455,-90.06456280
G1618114,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3675065,527584,2014-07-13 02:35:32,07/13/2014 02:43:45 AM,07/13/2014 02:44:51 AM,07/13/2014 03:54:13 AM,RTF,REPORT TO FOLLOW,N,6J01,029XX Josephine St,70113.0,6,"(29.94486680, -90.08852287)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.94486680,-90.08852287
G1713314,64G,ARMED ROBBERY WITH GUN,1A,21,COMPLAINT OTHER,2A,3683170,536700,2014-07-13 22:31:46,07/13/2014 10:41:34 PM,07/13/2014 11:02:20 PM,07/14/2014 01:53:34 AM,RTF,REPORT TO FOLLOW,N,5A01,013XX Annette St,70116.0,5,"(29.96968848, -90.06261279)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96968848,-90.06261279
G1734614,64G,ARMED ROBBERY WITH GUN,2A,60,AGGRAVATED BURGLARY,2A,3665905,536448,2014-07-14 04:06:12,07/14/2014 04:10:37 AM,07/14/2014 04:16:44 AM,07/14/2014 06:48:41 AM,RTF,REPORT TO FOLLOW,N,2S02,036XX Eagle St,70118.0,2,"(29.96951110, -90.11714702)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96951110,-90.11714702
G1752414,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3662661,531212,2014-07-14 09:05:23,,07/14/2014 09:12:58 AM,07/14/2014 11:53:35 AM,RTF,REPORT TO FOLLOW,N,2K03,019XX Joliet St,70118.0,2,"(29.95520856, -90.12756675)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.95520856,-90.12756675
G1840214,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2A,3696164,552151,2014-07-14 21:46:52,07/14/2014 09:48:21 PM,07/14/2014 09:54:11 PM,07/15/2014 01:41:48 AM,RTF,REPORT TO FOLLOW,N,7C03,Timoleon St & Downman Rd,70126.0,7,"(30.01177210, -90.02102040)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.01177210,-90.02102040
G2273414,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3684102,536940,2014-07-18 04:07:51,07/18/2014 04:09:50 AM,,07/18/2014 06:12:16 AM,RTF,REPORT TO FOLLOW,N,5A05,012XX Touro St,70116.0,5,"(29.97032227, -90.05966326)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97032227,-90.05966326
G2413314,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2A,3696369,534103,2014-07-19 06:21:59,07/19/2014 06:23:33 AM,07/19/2014 06:27:16 AM,07/19/2014 08:09:54 AM,RTF,REPORT TO FOLLOW,N,5E01,051XX Saint Claude Ave,70117.0,5,"(29.96214081, -90.02102512)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96214081,-90.02102512
G2537914,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3682032,528162,2014-07-20 02:46:07,,07/20/2014 02:58:02 AM,07/20/2014 03:58:11 AM,RTF,REPORT TO FOLLOW,N,8G02,007XX Commerce St,70130.0,8,"(29.94624732, -90.06650476)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.94624732,-90.06650476
G2631414,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3677492,539518,2014-07-20 21:46:56,07/20/2014 09:49:15 PM,07/20/2014 10:05:15 PM,07/20/2014 11:11:56 PM,RTF,REPORT TO FOLLOW,N,1C04,N White St & Esplanade Ave,70119.0,1,"(29.97760946, -90.08044767)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97760946,-90.08044767
G2633714,64G,ARMED ROBBERY WITH GUN,2A,21,COMPLAINT OTHER,1H,3696084,520655,2014-07-20 22:11:45,07/20/2014 10:12:24 PM,07/20/2014 10:11:45 PM,07/21/2014 01:58:12 AM,RTF,REPORT TO FOLLOW,Y,4C02,035XX General De Gaulle Dr,70114.0,4,"(29.92517111, -90.02240999)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.92517111,-90.02240999
G2643514,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3685486,536169,2014-07-21 00:15:26,07/21/2014 12:31:07 AM,07/21/2014 12:45:27 AM,07/21/2014 02:40:35 AM,RTF,REPORT TO FOLLOW,N,8F04,010XX Marigny St,70117.0,8,"(29.96815758, -90.05531960)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96815758,-90.05531960
G2649214,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2A,3677937,523912,2014-07-21 01:23:32,07/21/2014 01:24:53 AM,07/21/2014 01:24:57 AM,07/21/2014 05:04:14 AM,RTF,REPORT TO FOLLOW,N,6E01,St Charles Ave & Josephine St,70130.0,6,"(29.93468481, -90.07958184)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.93468481,-90.07958184
G2676214,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3661183,522391,2014-07-21 08:48:06,07/21/2014 08:49:02 AM,07/21/2014 08:56:56 AM,07/21/2014 12:34:35 PM,RTF,REPORT TO FOLLOW,N,2D03,002XX Broadway St,70118.0,2,"(29.93099637, -90.13252651)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.93099637,-90.13252651
G2752514,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3679576,542591,2014-07-21 18:23:53,07/21/2014 06:25:09 PM,07/21/2014 06:34:03 PM,07/21/2014 08:11:16 PM,RTF,REPORT TO FOLLOW,N,1C03,Serantine St & N Gayoso St,70119.0,1,"(29.98599798, -90.07376056)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.98599798,-90.07376056
G2775314,64G,ARMED ROBBERY WITH GUN,2A,103F,FIGHT,2B,3690088,534144,2014-07-21 21:55:19,07/21/2014 09:56:52 PM,07/21/2014 10:00:47 PM,07/22/2014 02:59:12 AM,RTF,REPORT TO FOLLOW,N,5D01,Gallier St & Royal St,70117.0,5,"(29.96244895, -90.04085679)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96244895,-90.04085679
G2937514,64G,ARMED ROBBERY WITH GUN,2A,64J,CARJACKING,2A,3683218,540309,2014-07-23 04:07:31,07/23/2014 04:08:43 AM,,07/23/2014 06:16:43 AM,RTF,REPORT TO FOLLOW,N,5K02,022XX Saint Anthony St,70119.0,5,"(29.97961080, -90.06233635)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97961080,-90.06233635
G3344814,64G,ARMED ROBBERY WITH GUN,2A,37,AGGRAVATED ASSAULT,1C,3676226,524792,2014-07-26 06:05:26,07/26/2014 07:34:17 AM,07/26/2014 07:37:41 AM,07/26/2014 08:29:52 AM,RTF,REPORT TO FOLLOW,N,6I03,028XX Philip St,,6,"(29.93715627, -90.08495319)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.93715627,-90.08495319
G3348714,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3686961,547282,2014-07-26 07:20:19,07/26/2014 07:21:05 AM,07/26/2014 07:26:41 AM,07/26/2014 09:30:21 AM,RTF,REPORT TO FOLLOW,N,3Y03,039XX Franklin Ave,70122.0,3,"(29.99866894, -90.05026653)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.99866894,-90.05026653
G3391914,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,1A,3688460,536081,2014-07-26 15:24:01,07/26/2014 03:30:11 PM,07/26/2014 03:51:56 PM,07/26/2014 05:54:58 PM,RTF,REPORT TO FOLLOW,N,5C02,030XX Saint Claude Ave,70117.0,5,"(29.96782418, -90.04592936)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96782418,-90.04592936
G3428714,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3686964,539754,2014-07-26 21:02:35,07/26/2014 09:05:03 PM,07/26/2014 09:10:59 PM,07/26/2014 10:30:59 PM,RTF,REPORT TO FOLLOW,N,5G02,025XX N Johnson St,70117.0,5,"(29.97796981, -90.05052564)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97796981,-90.05052564
G3453614,64G,ARMED ROBBERY WITH GUN,2A,64J,CARJACKING,2A,3683465,546459,2014-07-27 00:30:56,07/27/2014 12:31:45 AM,07/27/2014 12:39:49 AM,07/27/2014 02:32:48 AM,RTF,REPORT TO FOLLOW,N,3X02,030XX Gentilly Blvd,,3,"(29.99651385, -90.06133968)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.99651385,-90.06133968
G3595914,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3664599,537445,2014-07-28 08:11:29,07/28/2014 08:12:00 AM,07/28/2014 08:13:52 AM,07/28/2014 12:44:55 PM,RTF,REPORT TO FOLLOW,N,3A01,092XX Airline Hwy,70118.0,3,"(29.97229252, -90.12123814)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.97229252,-90.12123814
G3695914,64G,ARMED ROBBERY WITH GUN,2A,63,PROWLER,2C,3669219,521879,2014-07-28 23:13:05,07/28/2014 11:13:48 PM,07/28/2014 11:18:08 PM,07/29/2014 06:06:01 AM,RTF,REPORT TO FOLLOW,N,2I02,048XX Dryades St,70115.0,2,"(29.92935394, -90.10717358)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.92935394,-90.10717358
G3864514,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2A,3704598,559624,2014-07-30 02:53:05,07/30/2014 02:57:07 AM,07/30/2014 03:05:00 AM,07/30/2014 06:30:13 AM,RTF,REPORT TO FOLLOW,N,7O09,070XX Crowder Blvd,70127.0,7,"(30.03205044, -89.99409817)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.03205044,-89.99409817
G4098614,64G,ARMED ROBBERY WITH GUN,2A,94,DISCHARGING FIREARM,2B,3702028,518313,2014-07-31 18:52:59,07/31/2014 06:53:30 PM,07/31/2014 07:28:35 PM,07/31/2014 09:08:46 PM,RTF,REPORT TO FOLLOW,N,4D02,049XX Berkley Dr,70131.0,4,"(29.91854381, -90.00373333)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.91854381,-90.00373333
H0123314,64G,ARMED ROBBERY WITH GUN,2A,64J,CARJACKING,2A,3679306,545113,2014-08-01 21:02:49,08/01/2014 09:04:34 PM,08/01/2014 09:08:18 PM,08/02/2014 12:33:28 AM,RTF,REPORT TO FOLLOW,N,3M02,Lafreniere St & Hamburg St,70122.0,3,"(29.99294076, -90.07452650)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.99294076,-90.07452650
H0154114,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3686969,536598,2014-08-02 01:35:37,08/02/2014 01:36:05 AM,08/02/2014 01:38:27 AM,08/02/2014 02:40:13 AM,RTF,REPORT TO FOLLOW,N,5B02,011XX Franklin Ave,70117.0,5,"(29.96929266, -90.05062100)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96929266,-90.05062100
H0203614,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3661904,531751,2014-08-02 12:54:30,08/02/2014 12:56:48 PM,08/02/2014 12:55:15 PM,08/02/2014 02:34:55 PM,RTF,REPORT TO FOLLOW,N,2K02,Cohn St & Monroe Ct,70118.0,2,"(29.95671384, -90.12993744)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.95671384,-90.12993744
H0238914,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3706908,513980,2014-08-02 19:06:33,08/02/2014 07:09:47 PM,08/02/2014 07:15:38 PM,08/02/2014 10:49:12 PM,RTF,REPORT TO FOLLOW,N,4E01,061XX Tullis Dr,70131.0,4,"(29.90647150, -89.98849118)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.90647150,-89.98849118
H0317914,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3681454,536691,2014-08-03 10:56:58,08/03/2014 10:57:45 AM,08/03/2014 11:03:01 AM,08/03/2014 12:51:34 PM,RTF,REPORT TO FOLLOW,N,1A01,014XX Blk N Claiborne Ave,70116.0,1,"(29.96971716, -90.06803388)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96971716,-90.06803388
H0428114,64G,ARMED ROBBERY WITH GUN,2A,62B,BUSINESS BUGLARY,2A,3667466,534752,2014-08-04 09:25:27,08/04/2014 09:26:46 AM,08/04/2014 09:32:09 AM,08/04/2014 10:56:06 AM,RTF,REPORT TO FOLLOW,N,2T05,035XX S Carrollton Ave,70118.0,2,"(29.96480374, -90.11227389)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.96480374,-90.11227389
H0510014,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3698028,519434,2014-08-04 20:41:15,08/04/2014 08:44:47 PM,08/04/2014 08:46:33 PM,08/04/2014 11:07:08 PM,RTF,REPORT TO FOLLOW,N,4C02,038XX General De Gaulle Dr,70114.0,4,"(29.92175337, -90.01631866)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,29.92175337,-90.01631866
H0516414,64G,ARMED ROBBERY WITH GUN,2A,64G,ARMED ROBBERY WITH GUN,2A,3692796,550489,2014-08-04 21:28:27,08/04/2014 09:29:25 PM,08/04/2014 09:34:06 PM,08/04/2014 10:51:45 PM,RTF,REPORT TO FOLLOW,N,3U03,Chef Menteur Hwy & Congress Dr,70126.0,3,"(30.00730648, -90.03171843)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,30.00730648,-90.03171843
