NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description
K0563813,65,SIMPLE ROBBERY,1B,,,,3682003,532991,2013-11-04 21:59:00,2013-11-04 22:01:00,2013-11-04 22:03:00,2013-11-05 01:23:00,RTF,REPORT TO FOLLOW,,,007XX Dauphine St,70116.0,8,"(29.959525150386725, -90.06643067367023)",VIOLENT CRIME,SIMPLE ROBBERY
K0680613,65,SIMPLE ROBBERY,1A,,,,3696547,518403,2013-11-05 17:40:00,2013-11-05 17:45:00,2013-11-05 18:07:00,2013-11-05 20:22:00,RTF,REPORT TO FOLLOW,,,036XX Texas Dr,70114.0,4,"(29.91896301763674, -90.02103192260363)",VIOLENT CRIME,SIMPLE ROBBERY
K0732413,65,SIMPLE ROBBERY,2A,,,,3663131,529630,2013-11-06 03:38:00,2013-11-06 03:40:00,2013-11-06 03:45:00,2013-11-06 04:44:00,RTF,REPORT TO FOLLOW,,,081XX Green St,70118.0,2,"(29.95084373726491, -90.12613616325729)",VIOLENT CRIME,SIMPLE ROBBERY
K1043913,65,SIMPLE ROBBERY,2A,,,,3679219,523339,2013-11-08 10:46:00,2013-11-08 10:49:00,2013-11-08 10:52:00,2013-11-08 14:45:00,RTF,REPORT TO FOLLOW,,,013XX Saint Mary St,70130.0,6,"(29.933069716286084, -90.07555646059981)",VIOLENT CRIME,SIMPLE ROBBERY
K1079313,65,SIMPLE ROBBERY,2A,,,,3676584,536863,2013-11-08 15:42:00,2013-11-08 15:47:00,2013-11-08 15:58:00,2013-11-08 17:05:00,RTF,REPORT TO FOLLOW,,,027XX Saint Peter St,70119.0,1,"(29.970335473369516, -90.08340925340059)",VIOLENT CRIME,SIMPLE ROBBERY
K1236413,65,SIMPLE ROBBERY,1B,,,,3685016,533678,2013-11-09 19:33:00,,,2013-11-09 19:33:00,RTF,REPORT TO FOLLOW,,,X Esplanade Ave,70116.0,8,"(29.96132221978791, -90.0568921708733)",VIOLENT CRIME,SIMPLE ROBBERY
K1276813,65,SIMPLE ROBBERY,1B,,,,3684536,541458,2013-11-10 01:58:00,2013-11-10 04:42:00,2013-11-10 04:49:00,2013-11-10 06:26:00,RTF,REPORT TO FOLLOW,,,Elysian Fields Ave & N Dorgenois St,70119.0,5,"(29.982729205518698, -90.05813450982245)",VIOLENT CRIME,SIMPLE ROBBERY
K1590313,65,SIMPLE ROBBERY,2A,,,,3681800,539086,2013-11-12 14:46:00,2013-11-12 15:06:00,2013-11-12 15:24:00,2013-11-12 18:05:00,RTF,REPORT TO FOLLOW,,,A P Tureaud Ave & Old Prieur St,70116.0,5,"(29.976290472687705, -90.06685897128848)",VIOLENT CRIME,SIMPLE ROBBERY
K1852713,65,SIMPLE ROBBERY,1B,,,,3682111,532396,2013-11-14 09:12:00,,2013-11-14 09:53:00,2013-11-14 13:14:00,RTF,REPORT TO FOLLOW,,,006XX Bourbon St,70130.0,8,"(29.957885819350988, -90.06611041414816)",VIOLENT CRIME,SIMPLE ROBBERY
K1917813,65,SIMPLE ROBBERY,1B,,,,3676287,523661,2013-11-14 17:38:00,2013-11-14 17:39:00,2013-11-14 17:42:00,2013-11-14 19:41:00,RTF,REPORT TO FOLLOW,,,Second St & Baronne St,70113.0,6,"(29.934043281627904, -90.08480151255864)",VIOLENT CRIME,SIMPLE ROBBERY
K2020613,65,SIMPLE ROBBERY,1B,,,,3680065,531586,2013-11-15 12:22:00,2013-11-15 15:15:00,2013-11-15 15:44:00,2013-11-15 16:43:00,RTF,REPORT TO FOLLOW,,,Canal St & S Rampart St,70112.0,8,"(29.95572065251469, -90.07259924061307)",VIOLENT CRIME,SIMPLE ROBBERY
K2317813,65,SIMPLE ROBBERY,1B,,,,3679317,538115,2013-11-17 16:20:00,2013-11-17 16:21:00,2013-11-17 16:25:00,2013-11-17 18:48:00,RTF,REPORT TO FOLLOW,,,Esplanade Ave & N Tonti St,70119.0,1,"(29.973695785744507, -90.07473470992548)",VIOLENT CRIME,SIMPLE ROBBERY
K2344613,65,SIMPLE ROBBERY,1B,,,,3691344,549331,2013-11-17 20:37:00,,2013-11-17 20:37:00,2013-11-17 21:41:00,RTF,REPORT TO FOLLOW,,,042XX Louisa St,70126.0,3,"(30.004167015237357, -90.03635004067435)",VIOLENT CRIME,SIMPLE ROBBERY
K2892313,65,SIMPLE ROBBERY,1B,,,,3691964,534829,2013-11-21 16:51:00,2013-11-21 17:22:00,2013-11-21 16:51:00,2013-11-21 17:59:00,RTF,REPORT TO FOLLOW,,,010XX Mazant St,70117.0,5,"(29.96427241570065, -90.03491050737807)",VIOLENT CRIME,SIMPLE ROBBERY
K3013313,65,SIMPLE ROBBERY,1B,,,,3710871,560806,2013-11-22 13:38:00,2013-11-22 13:40:00,2013-11-22 13:42:00,2013-11-22 18:47:00,RTF,REPORT TO FOLLOW,,,058XX Read Blvd,70127.0,7,"(30.035096582975967, -89.97423134916798)",VIOLENT CRIME,SIMPLE ROBBERY
K3048113,65,SIMPLE ROBBERY,1B,,,,3678723,539531,2013-11-22 18:44:00,2013-11-22 18:45:00,2013-11-22 18:46:00,2013-11-22 21:01:00,RTF,REPORT TO FOLLOW,,,015XX N Broad St,70119.0,1,"(29.977607224554117, -90.07656164061271)",VIOLENT CRIME,SIMPLE ROBBERY
K3116813,65,SIMPLE ROBBERY,1B,,,,3702903,557855,2013-11-23 08:40:00,,2013-11-23 08:48:00,2013-11-23 11:29:00,RTF,REPORT TO FOLLOW,,,068XX Parc Brittany,70126.0,7,"(30.027239939989478, -89.99951987759285)",VIOLENT CRIME,SIMPLE ROBBERY
K3313813,65,SIMPLE ROBBERY,1B,,,,3681425,533328,2013-11-24 20:41:00,2013-11-24 20:54:00,2013-11-24 21:01:00,2013-11-24 22:13:00,RTF,REPORT TO FOLLOW,,,007XX N Rampart St,70116.0,8,"(29.960469345089372, -90.06824411283462)",VIOLENT CRIME,SIMPLE ROBBERY
K3329913,65,SIMPLE ROBBERY,1B,,,,3720245,572467,2013-11-25 00:11:00,2013-11-25 00:13:00,2013-11-25 00:21:00,2013-11-25 04:41:00,RTF,REPORT TO FOLLOW,,,075XX Shorewood Blvd,70128.0,7,"(30.066850457991006, -89.94416163170068)",VIOLENT CRIME,SIMPLE ROBBERY
L0275613,65,SIMPLE ROBBERY,2A,,,,3682004,532887,2013-12-03 01:00:00,2013-12-03 01:02:00,2013-12-03 01:05:00,2013-12-03 03:45:00,RTF,REPORT TO FOLLOW,,,007XX Dauphine St,70116.0,8,"(29.959239155448884, -90.06643114695596)",VIOLENT CRIME,SIMPLE ROBBERY
L0315313,65,SIMPLE ROBBERY,1B,,,,3691156,549769,2013-12-03 09:49:00,2013-12-03 09:51:00,2013-12-03 10:02:00,2013-12-03 13:59:00,RTF,REPORT TO FOLLOW,,,045XX Chef Menteur Hwy,70126.0,3,"(30.005377204261055, -90.0369283090422)",VIOLENT CRIME,SIMPLE ROBBERY
L1203813,65,SIMPLE ROBBERY,1B,,,,3682209,533201,2013-12-09 18:27:00,2013-12-09 20:38:00,2013-12-09 20:38:00,2013-12-09 22:53:00,RTF,REPORT TO FOLLOW,,,Saint Ann St & Dauphine St,70116.0,8,"(29.960096314343993, -90.06577283844062)",VIOLENT CRIME,SIMPLE ROBBERY
L1253013,65,SIMPLE ROBBERY,1B,,,,3680797,530831,2013-12-10 04:27:00,2013-12-10 04:28:00,2013-12-10 04:32:00,2013-12-10 06:00:00,RTF,REPORT TO FOLLOW,,,008XX Canal St,70112.0,8,"(29.953622491815686, -90.07031412234336)",VIOLENT CRIME,SIMPLE ROBBERY
L1755013,65,SIMPLE ROBBERY,1B,,,,3705337,558614,2013-12-13 14:14:00,2013-12-13 14:16:00,2013-12-13 14:25:00,2013-12-13 17:37:00,RTF,REPORT TO FOLLOW,,,084XX S I-10 Service Rd,70127.0,7,"(30.029248764593316, -89.99180063592449)",VIOLENT CRIME,SIMPLE ROBBERY
L1892513,65,SIMPLE ROBBERY,1B,,,,3680231,531171,2013-12-14 12:17:00,2013-12-14 12:54:00,2013-12-14 13:07:00,2013-12-14 14:00:00,RTF,REPORT TO FOLLOW,,,001XX University Pl,70112.0,8,"(29.954574519576827, -90.0720894953972)",VIOLENT CRIME,SIMPLE ROBBERY
L2049813,65,SIMPLE ROBBERY,1B,,,,3690457,549425,2013-12-15 14:45:00,2013-12-15 14:46:00,2013-12-15 15:01:00,2013-12-15 18:02:00,RTF,REPORT TO FOLLOW,,,043XX Chef Menteur Hwy,70126.0,3,"(30.004453057368828, -90.03914887016315)",VIOLENT CRIME,SIMPLE ROBBERY
L2079413,65,SIMPLE ROBBERY,2A,,,,3677000,534419,2013-12-15 19:23:00,2013-12-15 19:24:00,2013-12-15 19:27:00,2013-12-15 21:28:00,RTF,REPORT TO FOLLOW,,,002XX N Miro St,70119.0,1,"(29.963602819641995, -90.08217975709809)",VIOLENT CRIME,SIMPLE ROBBERY
L2251313,65,SIMPLE ROBBERY,1B,,,,3681876,536163,2013-12-17 00:56:00,2013-12-17 00:57:00,2013-12-17 00:59:00,2013-12-17 03:33:00,RTF,REPORT TO FOLLOW,,,014XX N Villere St,70116.0,1,"(29.968250923922696, -90.06672098809779)",VIOLENT CRIME,SIMPLE ROBBERY
L2267013,65,SIMPLE ROBBERY,1B,,,,3691920,544094,2013-12-17 04:59:00,2013-12-17 05:00:00,2013-12-17 05:07:00,2013-12-17 06:47:00,RTF,REPORT TO FOLLOW,,,Benefit St & Piety St,70126.0,5,"(29.98974923471158, -90.03471786471464)",VIOLENT CRIME,SIMPLE ROBBERY
L2400113,65,SIMPLE ROBBERY,1B,,,,3681996,534240,2013-12-18 00:24:00,2013-12-18 00:34:00,2013-12-18 00:24:00,2013-12-18 01:36:00,RTF,REPORT TO FOLLOW,,,011XX Saint Philip St,70116.0,1,"(29.962959686396882, -90.06640916974742)",VIOLENT CRIME,SIMPLE ROBBERY
L2446713,65,SIMPLE ROBBERY,1B,,,,3684734,538234,2013-12-18 10:25:00,2013-12-18 10:33:00,,2013-12-18 11:47:00,RTF,REPORT TO FOLLOW,,,016XX Elysian Fields Ave,70116.0,5,"(29.973858275936355, -90.0576224990392)",VIOLENT CRIME,SIMPLE ROBBERY
L2579913,65,SIMPLE ROBBERY,1B,,,,3681879,531499,2013-12-19 09:30:00,2013-12-19 09:31:00,2013-12-19 09:31:00,2013-12-19 10:57:00,RTF,REPORT TO FOLLOW,,,003XX Royal St,70130.0,8,"(29.955426427136942, -90.06687430989982)",VIOLENT CRIME,SIMPLE ROBBERY
L2580613,65,SIMPLE ROBBERY,1B,,,,3681879,531499,2013-12-19 09:38:00,2013-12-19 09:38:00,2013-12-19 09:39:00,2013-12-19 10:57:00,RTF,REPORT TO FOLLOW,,,003XX Royal St,70130.0,8,"(29.955426427136942, -90.06687430989982)",VIOLENT CRIME,SIMPLE ROBBERY
L3130813,65,SIMPLE ROBBERY,2A,,,,3671024,525802,2013-12-23 13:25:00,2013-12-23 13:26:00,2013-12-23 13:28:00,2013-12-23 16:09:00,RTF,REPORT TO FOLLOW,,,042XX S Claiborne Ave,70115.0,2,"(29.94008697448733, -90.10134396802754)",VIOLENT CRIME,SIMPLE ROBBERY
L3173213,65,SIMPLE ROBBERY,1B,,,,3679836,531614,2013-12-23 19:31:00,2013-12-23 19:34:00,2013-12-23 19:33:00,2013-12-23 22:02:00,RTF,REPORT TO FOLLOW,,,001XX Elk Pl,70112.0,8,"(29.95580456917075, -90.07332136940549)",VIOLENT CRIME,SIMPLE ROBBERY
L3270013,65,SIMPLE ROBBERY,1B,,,,3685616,533894,2013-12-24 16:12:00,,2013-12-24 16:12:00,2013-12-24 17:52:00,RTF,REPORT TO FOLLOW,,,023XX N Peters St,70117.0,8,"(29.96189775329139, -90.05498987036513)",VIOLENT CRIME,SIMPLE ROBBERY
L3281113,65,SIMPLE ROBBERY,1B,,,,3699859,533231,2013-12-24 17:55:00,2013-12-24 18:02:00,2013-12-24 18:16:00,2013-12-24 21:23:00,RTF,REPORT TO FOLLOW,,,St Claude Ave & St Maurice Ave,70117.0,5,"(29.959630132123277, -90.01003718585967)",VIOLENT CRIME,SIMPLE ROBBERY
L3438313,65,SIMPLE ROBBERY,1B,,,,3682100,533687,2013-12-26 11:48:00,2013-12-26 15:04:00,,2013-12-26 16:28:00,RTF,REPORT TO FOLLOW,,,010XX Dumaine St,70116.0,8,"(29.961435963376367, -90.06610006404507)",VIOLENT CRIME,SIMPLE ROBBERY
L3670413,65,SIMPLE ROBBERY,1B,,,,3679423,531080,2013-12-28 02:06:00,2013-12-28 02:08:00,2013-12-28 02:10:00,2013-12-28 03:52:00,RTF,REPORT TO FOLLOW,,,002XX Loyola Ave,70112.0,8,"(29.9543487303962, -90.07464400113689)",VIOLENT CRIME,SIMPLE ROBBERY
L3692313,65,SIMPLE ROBBERY,1B,,,,3682542,528423,2013-12-28 08:51:00,2013-12-28 09:05:00,2013-12-28 09:13:00,2013-12-28 10:40:00,RTF,REPORT TO FOLLOW,,,006XX Convention Center Blvd,70130.0,8,"(29.946948301829806, -90.06488831986199)",VIOLENT CRIME,SIMPLE ROBBERY
L3830913,65,SIMPLE ROBBERY,1B,,,,3679934,531522,2013-12-29 11:41:00,,2013-12-29 11:41:00,2013-12-29 13:21:00,RTF,REPORT TO FOLLOW,,,011XX Canal St,70112.0,8,"(29.955548636722366, -90.0730151150773)",VIOLENT CRIME,SIMPLE ROBBERY
A0026112,65,SIMPLE ROBBERY,1B,,,,3680346,531912,2012-01-01 01:44:00,2012-01-01 01:45:00,2012-01-01 01:47:00,2012-01-01 03:37:00,RTF,REPORT TO FOLLOW,,,002XX N Rampart St,70112.0,8,"(29.956608537919635, -90.07170060793311)",VIOLENT CRIME,SIMPLE ROBBERY
A0139412,65,SIMPLE ROBBERY,1B,,,,3682307,529905,2012-01-01 20:04:00,2012-01-01 20:08:00,2012-01-01 20:10:00,2012-01-01 22:35:00,RTF,REPORT TO FOLLOW,,,003XX Canal St,70130.0,8,"(29.951030452997887, -90.06557853022184)",VIOLENT CRIME,SIMPLE ROBBERY
A0163512,65,SIMPLE ROBBERY,2B,,,,3682519,532977,2012-01-02 00:13:00,2012-01-02 00:16:00,2012-01-02 00:23:00,2012-01-02 01:30:00,RTF,REPORT TO FOLLOW,,,008XX Bourbon St,70116.0,8,"(29.9594709577918, -90.06480175675452)",VIOLENT CRIME,SIMPLE ROBBERY
A0195712,65,SIMPLE ROBBERY,1B,,,,3669570,518651,2012-01-02 09:12:00,2012-01-02 09:14:00,2012-01-02 09:24:00,2012-01-02 10:32:00,RTF,REPORT TO FOLLOW,,,009XX Bordeaux St,70115.0,2,"(29.92046691792707, -90.1061762712039)",VIOLENT CRIME,SIMPLE ROBBERY
A0248912,65,SIMPLE ROBBERY,1B,,,,3692359,543219,2012-01-02 17:25:00,2012-01-02 17:44:00,2012-01-02 17:52:00,2012-01-02 20:16:00,RTF,REPORT TO FOLLOW,,,030XX Morrice Duncan Dr,70126.0,5,"(29.987329613283705, -90.03336254702)",VIOLENT CRIME,SIMPLE ROBBERY
A0268812,65,SIMPLE ROBBERY,1B,,,,3681380,531514,2012-01-02 20:54:00,2012-01-02 20:54:00,2012-01-02 20:59:00,2012-01-02 22:59:00,RTF,REPORT TO FOLLOW,,,Bienville St & Bourbon St,70112.0,8,"(29.955482827774233, -90.06844944722393)",VIOLENT CRIME,SIMPLE ROBBERY
A0300912,65,SIMPLE ROBBERY,1B,,,,3682196,528946,2012-01-03 03:14:00,2012-01-03 03:18:00,2012-01-03 03:39:00,2012-01-03 04:46:00,RTF,REPORT TO FOLLOW,,,003XX Poydras St,70130.0,8,"(29.948396903023035, -90.06596250426036)",VIOLENT CRIME,SIMPLE ROBBERY
A0581612,65,SIMPLE ROBBERY,1A,,,,3681568,531810,2012-01-05 03:18:00,2012-01-05 03:18:00,2012-01-05 03:41:00,2012-01-05 03:44:00,RTF,REPORT TO FOLLOW,,,008XX Conti St,70112.0,8,"(29.95629101958663, -90.06784548885196)",VIOLENT CRIME,SIMPLE ROBBERY
A0678512,65,SIMPLE ROBBERY,1B,,,,3684941,538165,2012-01-05 20:57:00,2012-01-05 21:04:00,2012-01-05 21:11:00,2012-01-05 23:57:00,RTF,REPORT TO FOLLOW,,,016XX Elysian Fields Ave,70117.0,5,"(29.9736622115066, -90.05697117582945)",VIOLENT CRIME,SIMPLE ROBBERY
A0704412,65,SIMPLE ROBBERY,1B,,,,3682002,528186,2012-01-06 02:25:00,2012-01-06 02:29:00,2012-01-06 02:32:00,2012-01-06 03:51:00,RTF,REPORT TO FOLLOW,,,Commerce St & Girod St,70130.0,8,"(29.946313057391844, -90.06660157038235)",VIOLENT CRIME,SIMPLE ROBBERY
A0759012,65,SIMPLE ROBBERY,2B,,,,3680472,530120,2012-01-06 13:48:00,2012-01-06 13:52:00,2012-01-06 13:57:00,2012-01-06 15:29:00,RTF,REPORT TO FOLLOW,,,003XX Carondelet St,70112.0,8,"(29.951677327800162, -90.07136506133907)",VIOLENT CRIME,SIMPLE ROBBERY
A0946412,65,SIMPLE ROBBERY,1A,,,,3685972,530557,2012-01-07 22:33:00,2012-01-07 23:46:00,2012-01-07 23:52:00,2012-01-08 03:17:00,RTF,REPORT TO FOLLOW,,,Delaronde St & Seguin St,70114.0,4,"(29.952711224139566, -90.0539833360754)",VIOLENT CRIME,SIMPLE ROBBERY
A0972712,65,SIMPLE ROBBERY,1B,,,,3681624,531805,2012-01-08 01:42:00,2012-01-08 01:42:00,,2012-01-08 04:20:00,RTF,REPORT TO FOLLOW,,,004XX Bourbon St,70112.0,8,"(29.95627557056932, -90.06766883413155)",VIOLENT CRIME,SIMPLE ROBBERY
A1033212,65,SIMPLE ROBBERY,1A,,,,3708891,563741,2012-01-08 13:24:00,2012-01-08 13:40:00,2012-01-08 13:47:00,2012-01-08 18:15:00,RTF,REPORT TO FOLLOW,,,074XX Read Blvd,70127.0,7,"(30.043231091854334, -89.98037889333526)",VIOLENT CRIME,SIMPLE ROBBERY
A1169612,65,SIMPLE ROBBERY,1B,,,,3680089,531580,2012-01-09 11:23:00,2012-01-09 11:24:00,2012-01-09 11:45:00,2012-01-09 12:29:00,RTF,REPORT TO FOLLOW,,,001XX N Rampart St,70112.0,8,"(29.955703428431594, -90.07252366557326)",VIOLENT CRIME,SIMPLE ROBBERY
A1252412,65,SIMPLE ROBBERY,1B,,,,3682497,532982,2012-01-09 21:47:00,2012-01-09 21:48:00,2012-01-09 21:48:00,2012-01-09 22:45:00,RTF,REPORT TO FOLLOW,,,Bourbon St & Saint Ann St,70116.0,8,"(29.959485375763993, -90.06487105274557)",VIOLENT CRIME,SIMPLE ROBBERY
A1264712,65,SIMPLE ROBBERY,1B,,,,3686833,535302,2012-01-09 23:19:00,2012-01-09 23:22:00,2012-01-09 23:26:00,2012-01-10 00:18:00,RTF,REPORT TO FOLLOW,,,026XX Dauphine St,70117.0,5,"(29.96573187591561, -90.05109703004118)",VIOLENT CRIME,SIMPLE ROBBERY
A1416712,65,SIMPLE ROBBERY,1B,,,,3704463,559299,2012-01-10 22:40:00,2012-01-11 00:21:00,2012-01-11 00:31:00,2012-01-11 01:45:00,RTF,REPORT TO FOLLOW,,,070XX Crowder Blvd,70126.0,7,"(30.0311603545535, -89.99453714164338)",VIOLENT CRIME,SIMPLE ROBBERY
A1554912,65,SIMPLE ROBBERY,2B,,,,3683962,535135,2012-01-11 21:50:00,2012-01-11 21:53:00,2012-01-11 21:57:00,2012-01-12 00:01:00,RTF,REPORT TO FOLLOW,,,Dauphine St & Pauger St,70116.0,8,"(29.965360710867156, -90.06016939086089)",VIOLENT CRIME,SIMPLE ROBBERY
A1676112,65,SIMPLE ROBBERY,1B,,,,3681249,530721,2012-01-12 20:01:00,2012-01-12 20:01:00,2012-01-12 20:03:00,2012-01-12 23:05:00,RTF,REPORT TO FOLLOW,,,001XX Royal St,70130.0,8,"(29.953306321797264, -90.06889072963331)",VIOLENT CRIME,SIMPLE ROBBERY
A1792812,65,SIMPLE ROBBERY,2B,,,,3669801,520208,2012-01-13 18:33:00,2012-01-13 18:47:00,2012-01-13 18:48:00,2012-01-13 22:50:00,RTF,REPORT TO FOLLOW,,,Prytania St & Valence St,70115.0,2,"(29.924741369364625, -90.10539444167748)",VIOLENT CRIME,SIMPLE ROBBERY
A2023112,65,SIMPLE ROBBERY,1B,,,,3690713,537969,2012-01-15 15:01:00,2012-01-15 15:06:00,2012-01-15 15:15:00,2012-01-15 17:19:00,RTF,REPORT TO FOLLOW,,,017XX Desire St,70117.0,5,"(29.97294522988441, -90.0387490178749)",VIOLENT CRIME,SIMPLE ROBBERY
A2207712,65,SIMPLE ROBBERY,2B,,,,3672303,522448,2012-01-16 23:47:00,2012-01-16 23:51:00,2012-01-16 23:55:00,2012-01-17 01:57:00,RTF,REPORT TO FOLLOW,,,Danneel St & General Taylor St,70115.0,6,"(29.930826686707448, -90.09742017655368)",VIOLENT CRIME,SIMPLE ROBBERY
A2289612,65,SIMPLE ROBBERY,2B,,,,3666415,521597,2012-01-17 15:21:00,2012-01-17 15:26:00,2012-01-17 15:31:00,2012-01-17 20:05:00,RTF,REPORT TO FOLLOW,,,Arabella St & Hurst St,70115.0,2,"(29.928660021040198, -90.11603637665034)",VIOLENT CRIME,SIMPLE ROBBERY
A3379812,65,SIMPLE ROBBERY,2B,,,,3684463,533710,2012-01-24 21:18:00,2012-01-24 21:22:00,2012-01-24 21:26:00,2012-01-24 22:50:00,RTF,REPORT TO FOLLOW,,,005XX Barracks St,70116.0,8,"(29.96142713591948, -90.05863732075841)",VIOLENT CRIME,SIMPLE ROBBERY
A3415312,65,SIMPLE ROBBERY,1B,,,,3691364,549718,2012-01-25 03:44:00,2012-01-25 03:44:00,2012-01-25 03:45:00,2012-01-25 05:11:00,RTF,REPORT TO FOLLOW,,,046XX Chef Menteur Hwy,70126.0,3,"(30.00523050060261, -90.03627301778066)",VIOLENT CRIME,SIMPLE ROBBERY
A3475712,65,SIMPLE ROBBERY,1A,,,,3691151,545470,2012-01-25 13:45:00,2012-01-25 15:17:00,2012-01-25 15:51:00,2012-01-25 16:32:00,RTF,REPORT TO FOLLOW,,,030XX Higgins Blvd,70126.0,5,"(29.993556678648535, -90.0370977458404)",VIOLENT CRIME,SIMPLE ROBBERY
A3695412,65,SIMPLE ROBBERY,1B,,,,3682999,534852,2012-01-26 22:32:00,2012-01-26 22:32:00,2012-01-26 22:46:00,2012-01-27 01:37:00,RTF,REPORT TO FOLLOW,,,010XX Barracks St,70116.0,8,"(29.964611944606734, -90.06322040146803)",VIOLENT CRIME,SIMPLE ROBBERY
A3720512,65,SIMPLE ROBBERY,1B,,,,3682652,533783,2012-01-27 02:44:00,2012-01-27 03:31:00,2012-01-27 03:39:00,2012-01-27 04:32:00,RTF,REPORT TO FOLLOW,,,Dauphine St & Saint Philip St,70116.0,8,"(29.961683132838534, -90.06435358758812)",VIOLENT CRIME,SIMPLE ROBBERY
A3969812,65,SIMPLE ROBBERY,1A,,,,3669844,533412,2012-01-28 17:11:00,2012-01-28 18:01:00,2012-01-28 18:25:00,2012-01-28 19:37:00,RTF,REPORT TO FOLLOW,,,048XX Euphrosine St,70125.0,6,"(29.961046814146997, -90.10481182217154)",VIOLENT CRIME,SIMPLE ROBBERY
A4379312,65,SIMPLE ROBBERY,1B,,,,3666938,523156,2012-01-31 10:55:00,2012-01-31 10:59:00,2012-01-31 11:10:00,2012-01-31 13:35:00,RTF,REPORT TO FOLLOW,,,056XX Loyola Ave,70115.0,2,"(29.932931487437887, -90.11433301224031)",VIOLENT CRIME,SIMPLE ROBBERY
A4388912,65,SIMPLE ROBBERY,1H,,,,3682321,536274,2012-01-31 12:01:00,2012-01-31 12:01:00,2012-01-31 12:25:00,2012-01-31 13:31:00,RTF,REPORT TO FOLLOW,,,013XX Kerlerec St,70116.0,1,"(29.968542602499717, -90.06531178084057)",VIOLENT CRIME,SIMPLE ROBBERY
A4421112,65,SIMPLE ROBBERY,1B,,,,3683190,532662,2012-01-31 16:01:00,2012-01-31 16:04:00,2012-01-31 16:14:00,2012-01-31 17:48:00,RTF,REPORT TO FOLLOW,,,008XX Chartres St,70116.0,8,"(29.958584372635027, -90.06269392887123)",VIOLENT CRIME,SIMPLE ROBBERY
B0043112,65,SIMPLE ROBBERY,1B,,,,3673678,521752,2012-02-01 08:53:00,2012-02-01 08:53:00,2012-02-01 09:14:00,2012-02-01 10:16:00,RTF,REPORT TO FOLLOW,,,Carondelet St & Delachaise St,70115.0,6,"(29.92887205989295, -90.09310326916476)",VIOLENT CRIME,SIMPLE ROBBERY
B0379412,65,SIMPLE ROBBERY,2B,,,,3688721,537245,2012-02-03 10:16:00,2012-02-03 10:20:00,2012-02-03 10:24:00,2012-02-03 17:31:00,RTF,REPORT TO FOLLOW,,,Montegut St & N Villere St,70117.0,5,"(29.971016217392034, -90.04506582568925)",VIOLENT CRIME,SIMPLE ROBBERY
B0458212,65,SIMPLE ROBBERY,2B,,,,3685471,534200,2012-02-03 19:14:00,2012-02-03 19:19:00,2012-02-03 19:20:00,2012-02-03 20:37:00,RTF,REPORT TO FOLLOW,,,022XX Decatur St,70117.0,8,"(29.962743594962536, -90.05543698001678)",VIOLENT CRIME,SIMPLE ROBBERY
B0695112,65,SIMPLE ROBBERY,1B,,,,3681481,532806,2012-02-05 06:36:00,2012-02-05 06:41:00,2012-02-05 07:02:00,2012-02-05 07:43:00,RTF,REPORT TO FOLLOW,,,006XX Burgundy St,70112.0,8,"(29.95903232275846, -90.06808547776357)",VIOLENT CRIME,SIMPLE ROBBERY
B0713612,65,SIMPLE ROBBERY,1E,,,,3696610,536618,2012-02-05 10:43:00,2012-02-05 10:44:00,2012-02-05 10:47:00,2012-02-05 15:39:00,RTF,REPORT TO FOLLOW,,,017XX Reynes St,70117.0,5,"(29.969045950185237, -90.02017415647701)",VIOLENT CRIME,SIMPLE ROBBERY
B0979612,65,SIMPLE ROBBERY,1B,,,,3679822,531657,2012-02-07 09:25:00,2012-02-07 11:12:00,2012-02-07 11:35:00,2012-02-07 13:08:00,RTF,REPORT TO FOLLOW,,,Canal St & Elk Pl,70112.0,8,"(29.955923227946403, -90.07336408346396)",VIOLENT CRIME,SIMPLE ROBBERY
B1099212,65,SIMPLE ROBBERY,1B,,,,3675089,528850,2012-02-08 01:29:00,2012-02-08 01:37:00,2012-02-08 01:37:00,2012-02-08 02:55:00,RTF,REPORT TO FOLLOW,,,S Derbigny St & Erato St,70125.0,6,"(29.94834716657655, -90.08840557600881)",VIOLENT CRIME,SIMPLE ROBBERY
B1185712,65,SIMPLE ROBBERY,2B,,,,3672265,527114,2012-02-08 16:31:00,2012-02-08 16:37:00,2012-02-08 17:19:00,2012-02-08 18:30:00,RTF,REPORT TO FOLLOW,,,031XX Toledano St,70125.0,6,"(29.943657799098897, -90.09738125434421)",VIOLENT CRIME,SIMPLE ROBBERY
B1272912,65,SIMPLE ROBBERY,1B,,,,3660799,532318,2012-02-09 08:21:00,2012-02-09 08:26:00,2012-02-09 08:47:00,2012-02-09 09:57:00,RTF,REPORT TO FOLLOW,,,018XX Hamilton St,70118.0,2,"(29.958302221917858, -90.13341059678585)",VIOLENT CRIME,SIMPLE ROBBERY
B1520712,65,SIMPLE ROBBERY,1B,,,,3673154,521149,2012-02-10 23:12:00,2012-02-10 23:12:00,2012-02-10 23:12:00,2012-02-10 23:40:00,RTF,REPORT TO FOLLOW,,,Amelia St & Saint Charles Ave,70115.0,6,"(29.927229588833, -90.09477800992592)",VIOLENT CRIME,SIMPLE ROBBERY
