NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description,Date,latitude,longitude,Beat_New
C2467816,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,1A,3686364,536561,03/21/2016 09:37:01 AM,03/21/2016 09:37:51 AM,03/21/2016 09:45:29 AM,03/21/2016 03:31:47 PM,RTF,REPORT TO FOLLOW,N,5B02,023XX Saint Claude Ave,70117,5,"(29.96920948, -90.05253341)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-21,29.96920948,-90.05253341,5B02
C2848116,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3686894,536408,03/24/2016 09:21:45 AM,03/24/2016 09:23:39 AM,03/24/2016 09:25:09 AM,03/24/2016 11:34:09 AM,RTF,REPORT TO FOLLOW,N,8F04,025XX St Claude Ave,70117,8,"(29.96877156, -90.05086368)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-24,29.96877156,-90.05086368,5B01
C3064516,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3679164,522314,03/26/2016 03:41:39 AM,03/26/2016 03:43:47 AM,03/26/2016 03:47:48 AM,03/26/2016 05:16:49 AM,RTF,REPORT TO FOLLOW,N,6B03,Josephine St & Magazine St,70130,6,"(29.93025404, -90.07576356)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-26,29.93025404,-90.07576356,6E01
C3173616,,ARMED ROBBERY WITH GUN,2A,,CARJACKING,2A,3680459,541876,03/27/2016 01:08:07 AM,03/27/2016 01:09:09 AM,03/27/2016 01:13:18 AM,03/27/2016 03:33:33 AM,RTF,REPORT TO FOLLOW,N,5K04,N Broad St & Hope St,70119,5,"(29.98400360, -90.07099484)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-27,29.9840036,-90.07099484,5K04
C3194116,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3681673,529836,03/27/2016 08:17:13 AM,03/27/2016 08:18:27 AM,03/27/2016 08:21:46 AM,03/27/2016 12:06:17 PM,RTF,REPORT TO FOLLOW,N,8G04,002XX Blk Magazine St,70130,8,"(29.95086195, -90.06758089)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-27,29.95086195,-90.06758089,8G04
C3279716,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3682461,523946,03/28/2016 03:48:49 AM,03/28/2016 03:51:02 AM,03/28/2016 03:54:19 AM,03/28/2016 05:26:04 AM,RTF,REPORT TO FOLLOW,N,6C01,004XX Henderson St,70130,6,"(29.93464175, -90.06530022)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-28,29.93464175,-90.06530022,6C01
C3366516,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3686894,536408,03/28/2016 07:58:33 PM,03/28/2016 07:59:57 PM,03/28/2016 08:06:03 PM,03/28/2016 10:08:55 PM,RTF,REPORT TO FOLLOW,N,8F04,025XX St Claude Ave,70117,8,"(29.96877156, -90.05086368)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-28,29.96877156,-90.05086368,5B01
C3518016,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3669075,537354,03/30/2016 02:44:26 AM,03/30/2016 02:45:09 AM,03/30/2016 02:54:18 AM,03/30/2016 04:56:05 AM,RTF,REPORT TO FOLLOW,N,3D02,043XX D'Hemecourt St,70119,3,"(29.97191103, -90.10710410)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-30,29.97191103,-90.1071041,3D02
C3594816,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3688752,537395,03/30/2016 06:49:00 PM,03/30/2016 06:50:06 PM,03/30/2016 06:52:48 PM,03/30/2016 09:42:19 PM,RTF,REPORT TO FOLLOW,N,5C03,014XX Montegut St,70117,5,"(29.97142843, -90.04496031)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-30,29.97142843,-90.04496031,5C03
C3606216,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3690217,535633,03/30/2016 08:25:21 PM,03/30/2016 08:26:36 PM,03/30/2016 08:26:04 PM,03/30/2016 10:44:17 PM,RTF,REPORT TO FOLLOW,N,5D02,034XX Saint Claude Ave,70117,5,"(29.96653960, -90.04039563)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-30,29.9665396,-90.04039563,5D02
C3624916,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3679122,540944,03/30/2016 11:41:01 PM,03/30/2016 11:42:01 PM,03/30/2016 11:46:38 PM,03/31/2016 02:13:36 AM,RTF,REPORT TO FOLLOW,N,1C03,016XX Paul Morphy St,70119,1,"(29.98148088, -90.07525159)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-03-30,29.98148088,-90.07525159,1C03
D0008116,,ARMED ROBBERY WITH GUN,2A,94,DISCHARGING FIREARM,2B,3669075,537354,04/01/2016 01:58:53 AM,04/01/2016 01:59:29 AM,04/01/2016 02:00:38 AM,04/01/2016 04:54:12 AM,RTF,REPORT TO FOLLOW,N,3D02,043XX D'Hemecourt St,70119,3,"(29.97191103, -90.10710410)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-01,29.97191103,-90.1071041,3D02
D0224816,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3681871,542167,04/02/2016 10:52:22 PM,04/02/2016 11:22:03 PM,04/02/2016 11:46:56 PM,04/03/2016 01:28:23 AM,RTF,REPORT TO FOLLOW,N,5K03,026XX New Orleans St,70119,5,"(29.98476026, -90.06652428)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-02,29.98476026,-90.06652428,5K03
D0491416,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,1A,3683176,529135,04/05/2016 10:32:42 AM,04/05/2016 12:32:03 PM,04/05/2016 12:38:08 PM,04/05/2016 02:27:37 PM,RTF,REPORT TO FOLLOW,N,8A03,X Poydras St,70130,8,"(29.94888940, -90.06285860)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-05,29.9488894,-90.0628586,8A03
D0935216,,ARMED ROBBERY WITH GUN,2A,94,DISCHARGING FIREARM,2B,3690504,539656,04/08/2016 09:33:14 PM,,04/08/2016 09:50:36 PM,04/08/2016 11:33:56 PM,RTF,REPORT TO FOLLOW,N,5M03,021XX Louisa St,70117,5,"(29.97759113, -90.03934808)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-08,29.97759113,-90.03934808,5M03
D1069316,,ARMED ROBBERY WITH GUN,2A,107,SUSPICIOUS PERSON,2A,3682445,530709,04/10/2016 01:19:13 AM,04/10/2016 01:24:13 AM,04/10/2016 01:25:39 AM,04/10/2016 05:13:27 AM,RTF,REPORT TO FOLLOW,N,8B02,N Peters St & Bienville St,70130,8,"(29.95323762, -90.06511300)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-10,29.95323762,-90.065113,8B02
D1069516,,ARMED ROBBERY WITH GUN,2A,107,SUSPICIOUS PERSON,2A,3682033,530529,04/10/2016 01:25:22 AM,04/10/2016 01:26:19 AM,04/10/2016 01:26:39 AM,04/10/2016 05:28:28 AM,RTF,REPORT TO FOLLOW,N,8B01,005XX Iberville St,70130,8,"(29.95275611, -90.06641879)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-10,29.95275611,-90.06641879,8B01
D2222816,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,2A,3686872,534365,04/20/2016 01:15:11 AM,04/20/2016 01:26:39 AM,04/20/2016 01:35:07 AM,04/20/2016 03:24:55 AM,RTF,REPORT TO FOLLOW,N,5C01,005XX Port St,70117,5,"(29.96315592, -90.05100508)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-20,29.96315592,-90.05100508,5C01
D2738416,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3688724,537279,04/24/2016 11:00:15 AM,04/24/2016 11:02:38 AM,04/24/2016 11:12:18 AM,04/24/2016 12:48:42 PM,RTF,REPORT TO FOLLOW,N,5C03,014XX Montegut St,70117,5,"(29.97111212, -90.04505229)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-24,29.97111212,-90.04505229,5C03
D3374816,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3690698,539130,04/29/2016 12:32:43 PM,04/29/2016 12:34:08 PM,04/29/2016 12:36:22 PM,04/29/2016 02:30:04 PM,RTF,REPORT TO FOLLOW,N,5G04,033XX N Johnson St,70117,5,"(29.97613905, -90.03875251)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-29,29.97613905,-90.03875251,5G04
D3583516,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3679058,523579,04/30/2016 11:17:49 PM,04/30/2016 11:19:03 PM,04/30/2016 11:35:40 PM,05/01/2016 12:45:25 AM,RTF,REPORT TO FOLLOW,N,6E01,Saint Mary St & Coliseum St,70130,6,"(29.93373679, -90.07605627)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-04-30,29.93373679,-90.07605627,6E01
E0204816,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3679626,540717,05/02/2016 08:08:57 PM,05/02/2016 08:09:14 PM,05/02/2016 08:11:24 PM,05/02/2016 10:24:25 PM,RTF,REPORT TO FOLLOW,N,1C02,017XX N Broad St,70119,1,"(29.98084358, -90.07366591)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-02,29.98084358,-90.07366591,1C02
E0350016,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3686654,534659,05/03/2016 10:48:32 PM,05/03/2016 10:53:07 PM,05/03/2016 10:50:17 PM,05/04/2016 04:21:30 AM,RTF,REPORT TO FOLLOW,N,8F04,006XX Franklin Ave,70117,8,"(29.96397010, -90.05168196)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-03,29.9639701,-90.05168196,5B01
E0750516,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3687025,536100,05/07/2016 02:56:02 AM,05/07/2016 02:57:14 AM,05/07/2016 03:01:07 AM,05/07/2016 04:23:09 AM,RTF,REPORT TO FOLLOW,N,8F04,Franklin Ave & N Rampart St,70117,5,"(29.96792070, -90.05046185)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-07,29.9679207,-90.05046185,5B01
E0750916,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,1A,3685358,537073,05/07/2016 03:05:33 AM,05/07/2016 03:06:29 AM,05/07/2016 03:08:44 AM,05/07/2016 05:19:29 AM,RTF,REPORT TO FOLLOW,N,5B02,Marigny St & Urquhart St,70117,5,"(29.97064746, -90.05569158)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-07,29.97064746,-90.05569158,5B03
E0954816,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3686684,539173,05/08/2016 09:51:25 PM,05/08/2016 09:55:10 PM,05/08/2016 09:51:25 PM,05/08/2016 10:43:32 PM,RTF,REPORT TO FOLLOW,Y,5G02,018XX Music St,70117,5,"(29.97638131, -90.05142783)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-08,29.97638131,-90.05142783,5G02
E1478516,,ARMED ROBBERY WITH GUN,2A,67,THEFT,1E,3682082,529645,05/13/2016 07:54:24 AM,05/13/2016 05:24:32 PM,05/13/2016 05:34:07 PM,05/13/2016 09:06:00 PM,RTF,REPORT TO FOLLOW,N,8G02,003XX Canal St,70130,8,"(29.95032257, -90.06629572)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-13,29.95032257,-90.06629572,8G02
E1885016,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,2A,3684262,540325,05/16/2016 05:29:18 PM,05/16/2016 05:50:08 PM,05/16/2016 05:50:29 PM,05/16/2016 07:58:08 PM,RTF,REPORT TO FOLLOW,N,5K01,Frenchmen St & N Miro St,70119,5,"(29.97962276, -90.05903706)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-16,29.97962276,-90.05903706,5K01
E1885116,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,2A,3676365,536432,05/16/2016 05:32:20 PM,05/16/2016 07:15:33 PM,05/16/2016 07:45:40 PM,05/16/2016 09:31:17 PM,RTF,REPORT TO FOLLOW,N,1I03,N Broad St & Lafitte St,70119,1,"(29.96915896, -90.08411527)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-16,29.96915896,-90.08411527,1I03
E1950716,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,1A,3686627,539215,05/17/2016 09:12:06 AM,05/17/2016 11:46:15 AM,05/17/2016 11:54:54 AM,05/17/2016 03:23:33 PM,RTF,REPORT TO FOLLOW,N,5G02,018XX Blk Music St,70117,5,"(29.97649825, -90.05160906)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-17,29.97649825,-90.05160906,5G02
E1968716,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3689027,537105,05/17/2016 12:25:11 PM,05/17/2016 12:27:20 PM,,05/17/2016 03:47:07 PM,RTF,REPORT TO FOLLOW,N,5C03,013XX Feliciana St,70117,5,"(29.97062204, -90.04410305)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-17,29.97062204,-90.04410305,5C03
E2063216,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3682780,524019,05/18/2016 04:33:54 AM,05/18/2016 04:38:55 AM,05/18/2016 04:43:12 AM,05/18/2016 06:16:40 AM,RTF,REPORT TO FOLLOW,N,6C01,Henderson St & Convention Center Blvd,70130,6,"(29.93483191, -90.06428917)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-18,29.93483191,-90.06428917,6C01
E2110216,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3689134,536540,05/18/2016 02:50:26 PM,05/18/2016 02:52:05 PM,05/18/2016 02:50:26 PM,05/18/2016 09:05:34 PM,RTF,REPORT TO FOLLOW,Y,5C02,012XX Blk Clouet St,70117,5,"(29.96906584, -90.04378372)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-18,29.96906584,-90.04378372,5C02
E3373416,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3686703,534569,05/29/2016 01:17:21 AM,05/29/2016 01:18:57 AM,05/29/2016 01:19:01 AM,05/29/2016 02:50:51 AM,RTF,REPORT TO FOLLOW,N,5C01,026XX Chartres St,70117,5,"(29.96372157, -90.05153267)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-29,29.96372157,-90.05153267,5C01
E3373916,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,1A,3685815,534968,05/29/2016 01:24:42 AM,05/29/2016 01:27:25 AM,,05/29/2016 02:21:22 AM,RTF,REPORT TO FOLLOW,N,8F04,007XX Mandeville St,70117,8,"(29.96484484, -90.05432257)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-29,29.96484484,-90.05432257,5B01
E3378916,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3696419,534095,05/29/2016 02:16:08 AM,05/29/2016 02:17:25 AM,05/29/2016 02:21:26 AM,05/29/2016 04:39:23 AM,RTF,REPORT TO FOLLOW,N,5E01,051XX Saint Claude Ave,70117,5,"(29.96211536, -90.02086742)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-29,29.96211536,-90.02086742,5E01
E3383316,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3671576,536396,05/29/2016 03:22:03 AM,05/29/2016 03:22:56 AM,05/29/2016 03:29:24 AM,05/29/2016 04:31:44 AM,RTF,REPORT TO FOLLOW,N,1L03,037XX Banks St,70119,1,"(29.96920244, -90.09923827)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-29,29.96920244,-90.09923827,1L03
E3384316,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3677892,537406,05/29/2016 03:33:01 AM,05/29/2016 03:35:18 AM,05/29/2016 03:39:11 AM,05/29/2016 04:26:14 AM,RTF,REPORT TO FOLLOW,N,1J03,025XX Saint Philip St,70119,1,"(29.97179195, -90.07925785)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-29,29.97179195,-90.07925785,1J03
E3386216,,ARMED ROBBERY WITH GUN,2A,94,DISCHARGING FIREARM,2B,3696419,534095,05/29/2016 04:09:22 AM,05/29/2016 04:10:14 AM,05/29/2016 04:16:10 AM,05/29/2016 08:21:18 AM,RTF,REPORT TO FOLLOW,N,5E01,051XX Saint Claude Ave,70117,5,"(29.96211536, -90.02086742)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-05-29,29.96211536,-90.02086742,5E01
F0009616,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3678545,538588,06/01/2016 02:16:22 AM,06/01/2016 02:17:00 AM,06/01/2016 02:19:35 AM,06/01/2016 04:50:24 AM,RTF,REPORT TO FOLLOW,N,1J04,025XX Esplanade Ave,70119,1,"(29.97501978, -90.07715636)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-01,29.97501978,-90.07715636,1J04
F0050216,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3671274,534664,06/01/2016 01:08:37 PM,06/01/2016 01:09:53 PM,06/01/2016 01:12:20 PM,06/01/2016 03:51:51 PM,RTF,REPORT TO FOLLOW,N,1K02,034XX Tulane Ave,70119,1,"(29.96444891, -90.10025132)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-01,29.96444891,-90.10025132,1K02
F0187016,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3678840,540914,06/02/2016 02:07:01 PM,06/02/2016 02:07:42 PM,06/02/2016 02:13:53 PM,06/02/2016 02:48:49 PM,RTF,REPORT TO FOLLOW,N,1C03,027XX Onzaga St,70119,1,"(29.98140728, -90.07614284)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-02,29.98140728,-90.07614284,1C03
F0202516,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3690365,534033,06/02/2016 04:42:22 PM,06/02/2016 04:43:15 PM,06/02/2016 04:46:08 PM,06/02/2016 10:01:16 PM,RTF,REPORT TO FOLLOW,N,5D01,036XX Royal St,70117,5,"(29.96213413, -90.03998671)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-02,29.96213413,-90.03998671,5D01
F0244016,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3682663,527439,06/02/2016 11:54:32 PM,06/02/2016 11:54:32 PM,06/03/2016 12:01:22 AM,06/03/2016 02:55:25 AM,RTF,REPORT TO FOLLOW,N,8A01,008XX Convention Center Blvd,70130,8,"(29.94424067, -90.06453820)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-02,29.94424067,-90.0645382,8A01
F0260716,,ARMED ROBBERY WITH GUN,2A,94,DISCHARGING FIREARM,2B,3680310,527044,06/03/2016 04:26:36 AM,06/03/2016 04:27:03 AM,06/03/2016 04:26:36 AM,06/03/2016 07:44:05 AM,RTF,REPORT TO FOLLOW,Y,8G03,Saint Charles Ave & Andrew Higgins Dr,70130,8,"(29.94322601, -90.07198273)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-03,29.94322601,-90.07198273,8G03
F0262816,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,2A,3681879,531499,06/03/2016 05:08:58 AM,06/03/2016 05:11:23 AM,06/03/2016 05:11:33 AM,06/03/2016 08:49:59 AM,RTF,REPORT TO FOLLOW,N,8C02,003XX Royal St,70130,8,"(29.95542795, -90.06687159)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-03,29.95542795,-90.06687159,8C02
F0396316,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3674875,533932,06/04/2016 09:52:37 AM,06/04/2016 09:54:30 AM,06/04/2016 09:58:52 AM,06/04/2016 12:18:49 PM,RTF,REPORT TO FOLLOW,N,1H02,Manasses Pl & Banks St,70119,1,"(29.96232847, -90.08890536)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-04,29.96232847,-90.08890536,1H02
F0801616,,ARMED ROBBERY WITH GUN,2A,21,COMPLAINT OTHER,2A,3675537,534384,06/07/2016 09:51:13 PM,06/07/2016 09:52:13 PM,06/07/2016 09:55:44 PM,06/07/2016 10:50:24 PM,RTF,REPORT TO FOLLOW,N,1H02,002XX S Dorgenois St,70119,1,"(29.96355079, -90.08680043)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-07,29.96355079,-90.08680043,1H02
F1060716,,ARMED ROBBERY WITH GUN,2A,67,THEFT,1E,3689601,535801,06/10/2016 03:41:45 AM,06/10/2016 05:16:14 AM,06/10/2016 05:16:18 AM,06/10/2016 07:42:28 AM,RTF,REPORT TO FOLLOW,N,5C02,032XX Saint Claude Ave,70117,5,"(29.96701890, -90.04233734)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-10,29.9670189,-90.04233734,5C02
F1141916,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3678539,540338,06/10/2016 09:15:17 PM,06/10/2016 09:17:34 PM,06/10/2016 09:19:23 PM,06/10/2016 11:10:12 PM,RTF,REPORT TO FOLLOW,N,1C03,016XX Gentilly Blvd,70119,1,"(29.97983356, -90.07711239)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-10,29.97983356,-90.07711239,1C03
F1338916,,ARMED ROBBERY WITH GUN,2A,21,COMPLAINT OTHER,2A,3679626,540717,06/12/2016 04:37:02 PM,06/12/2016 04:53:33 PM,06/12/2016 05:02:50 PM,06/12/2016 09:13:19 PM,RTF,REPORT TO FOLLOW,N,1C02,017XX N Broad St,70119,1,"(29.98084358, -90.07366591)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-12,29.98084358,-90.07366591,1C02
F1461116,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,2A,3696691,533665,06/13/2016 07:17:13 PM,06/13/2016 07:18:47 PM,06/13/2016 07:19:41 PM,06/13/2016 10:13:45 PM,RTF,REPORT TO FOLLOW,N,5E01,010XX Egania St,70117,5,"(29.96092571, -90.02002517)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-13,29.96092571,-90.02002517,5E01
F1628016,,ARMED ROBBERY WITH GUN,2A,64,ARMED ROBBERY,2A,3680310,527044,06/15/2016 08:16:33 AM,06/15/2016 08:19:26 AM,06/15/2016 08:32:09 AM,06/15/2016 10:15:35 AM,RTF,REPORT TO FOLLOW,N,8G03,Lee Circle & Andrew Higgins Dr,70130,8,"(29.94322601, -90.07198273)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-15,29.94322601,-90.07198273,8G03
F1933916,,ARMED ROBBERY WITH GUN,2A,,CARJACKING,2A,3677518,520636,06/17/2016 05:38:44 PM,06/17/2016 05:39:24 PM,06/17/2016 05:43:01 PM,06/17/2016 08:02:44 PM,RTF,REPORT TO FOLLOW,N,6A05,027XX Constance St,70130,6,"(29.92569086, -90.08101841)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-17,29.92569086,-90.08101841,6A05
F1952016,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3685097,541905,06/17/2016 08:27:37 PM,06/17/2016 08:28:01 PM,06/17/2016 08:33:02 PM,06/17/2016 10:27:20 PM,RTF,REPORT TO FOLLOW,N,5L03,025XX Elysian Fields Ave,70117,5,"(29.98394182, -90.05634601)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-17,29.98394182,-90.05634601,5L03
F2015116,,ARMED ROBBERY WITH GUN,1A,,ARMED ROBBERY WITH GUN,1A,3687239,539857,06/18/2016 09:56:26 AM,06/18/2016 09:59:00 AM,06/18/2016 10:12:55 AM,06/18/2016 12:50:45 PM,RTF,REPORT TO FOLLOW,N,5G02,020XX Painters St,70117,5,"(29.97824409, -90.04965144)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-18,29.97824409,-90.04965144,5G02
F2929316,,ARMED ROBBERY WITH GUN,2A,,CARJACKING,2A,3684472,542195,06/26/2016 12:33:28 AM,06/26/2016 12:35:38 AM,06/26/2016 12:33:28 AM,06/26/2016 05:47:06 AM,RTF,REPORT TO FOLLOW,Y,5K01,Elysian Fields Ave & Hope St,70119,5,"(29.98475994, -90.05830808)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-26,29.98475994,-90.05830808,5K01
F3245216,,ARMED ROBBERY WITH GUN,2A,,AUTO THEFT,1B,3680551,543397,06/28/2016 08:23:48 PM,06/28/2016 08:25:33 PM,06/28/2016 08:43:32 PM,06/28/2016 10:29:45 PM,RTF,REPORT TO FOLLOW,N,3X03,030XX Republic St,70119,3,"(29.98818388, -90.07065130)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-06-28,29.98818388,-90.0706513,3X03
G0178016,,ARMED ROBBERY WITH GUN,2A,,AGGRAVATED BATTERY DOMESTIC,1A,3699891,538598,07/02/2016 10:44:18 AM,07/02/2016 11:29:17 AM,07/02/2016 11:39:46 AM,07/02/2016 01:35:27 PM,RTF,REPORT TO FOLLOW,N,5I03,024XX Charbonnet St,70117,5,"(29.97438708, -90.00973992)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-07-02,29.97438708,-90.00973992,5I03
G1585816,,ARMED ROBBERY WITH GUN,2A,,ARMED ROBBERY WITH GUN,2A,3691423,533809,07/14/2016 11:10:08 PM,07/14/2016 11:10:26 PM,07/14/2016 11:15:37 PM,07/15/2016 01:05:38 AM,RTF,REPORT TO FOLLOW,N,5D01,Bartholomew St & Royal St,70117,5,"(29.96148636, -90.03665366)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-07-14,29.96148636,-90.03665366,5D01
G1775816,,ARMED ROBBERY WITH GUN,2A,,AGGRAVATED BATTERY BY SHOOTING,2B,3675845,535603,07/16/2016 05:25:31 PM,07/16/2016 05:26:12 PM,07/16/2016 05:28:22 PM,07/16/2016 08:28:10 PM,RTF,REPORT TO FOLLOW,N,1I03,002XX N Broad St,70119,1,"(29.96689562, -90.08578603)",VIOLENT CRIME,ARMED ROBBERY WITH GUN,2016-07-16,29.96689562,-90.08578603,1I03
